	  0.000	  0.100	  0.200	  0.300	  0.400	  0.500	  0.600	  0.700	  0.800	  0.900
0.000	4.000	4.000	4.000	4.000	4.000	2.000	2.000	2.000	2.000	2.000
0.015	4.000	4.000	4.000	4.000	4.000	3.940	2.004	2.000	2.000	2.000
0.030	4.000	4.000	4.000	4.000	4.000	3.996	2.557	2.000	2.000	2.000
0.045	4.000	4.000	4.000	4.000	4.000	4.000	3.699	2.026	2.000	2.000
0.060	4.000	4.000	4.000	4.000	4.000	4.000	3.972	2.418	2.001	2.000
0.075	4.000	4.000	4.000	4.000	4.000	4.000	3.998	3.466	2.028	2.000
0.090	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.928	2.303	2.001
0.105	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.993	3.231	2.023
0.120	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.999	3.866	2.213
0.135	4.000	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.984	2.995
